ticker,issuer_cik,year,quarter,n_investors,completed_at
JPM,19617,2014,3,1691,2026-05-18T04:28:55.426243+00:00
JPM,19617,2014,4,1812,2026-05-18T04:28:56.499804+00:00
JPM,19617,2015,1,1800,2026-05-18T04:28:59.159725+00:00
JPM,19617,2015,2,1845,2026-05-18T04:29:02.210129+00:00
JPM,19617,2015,3,1831,2026-05-18T04:29:04.933795+00:00
JPM,19617,2015,4,1943,2026-05-18T04:29:06.096866+00:00
JPM,19617,2016,1,1904,2026-05-18T04:29:13.457534+00:00
JPM,19617,2016,2,1912,2026-05-18T04:29:14.647132+00:00
JPM,19617,2016,3,1925,2026-05-18T04:29:17.018130+00:00
JPM,19617,2016,4,2100,2026-05-18T04:29:17.775792+00:00
JPM,19617,2017,1,2151,2026-05-18T04:29:21.844244+00:00
JPM,19617,2017,2,2199,2026-05-18T04:29:22.657017+00:00
JPM,19617,2017,3,2202,2026-05-18T04:29:29.896384+00:00
JPM,19617,2017,4,2420,2026-05-18T04:29:30.800326+00:00
JPM,19617,2018,1,2442,2026-05-18T04:29:31.603992+00:00
JPM,19617,2018,2,2433,2026-05-18T04:29:38.802895+00:00
JPM,19617,2018,3,2442,2026-05-18T04:29:39.684367+00:00
JPM,19617,2018,4,2582,2026-05-18T04:29:40.485168+00:00
JPM,19617,2019,1,2586,2026-05-18T04:29:47.767188+00:00
JPM,19617,2019,2,2624,2026-05-18T04:29:50.247984+00:00
JPM,19617,2019,3,2599,2026-05-18T04:29:51.085152+00:00
JPM,19617,2019,4,2878,2026-05-18T04:29:58.351101+00:00
JPM,19617,2020,1,2769,2026-05-18T04:29:59.300170+00:00
JPM,19617,2020,2,2836,2026-05-18T04:30:00.139302+00:00
JPM,19617,2020,3,2817,2026-05-18T04:30:04.150251+00:00
JPM,19617,2020,4,3114,2026-05-18T04:30:06.897754+00:00
JPM,19617,2021,1,3197,2026-05-18T04:30:07.808261+00:00
JPM,19617,2021,2,3226,2026-05-18T04:30:15.039939+00:00
JPM,19617,2021,3,3215,2026-05-18T04:30:15.924052+00:00
JPM,19617,2021,4,3564,2026-05-18T04:30:16.783997+00:00
JPM,19617,2022,1,3497,2026-05-18T04:30:24.126742+00:00
JPM,19617,2022,2,3400,2026-05-18T04:30:25.123608+00:00
JPM,19617,2022,3,3368,2026-05-18T04:30:27.753281+00:00
JPM,19617,2022,4,3593,2026-05-18T04:30:28.657486+00:00
JPM,19617,2023,1,3582,2026-05-18T04:30:35.956151+00:00
JPM,19617,2023,2,3639,2026-05-18T04:30:36.962574+00:00
JPM,19617,2023,3,3678,2026-05-18T04:30:37.827224+00:00
JPM,19617,2023,4,3960,2026-05-18T04:30:45.207103+00:00
JPM,19617,2024,1,4080,2026-05-18T04:30:46.931439+00:00
JPM,19617,2024,2,4140,2026-05-18T04:30:47.857055+00:00
