ticker,cik,quarter_end,year,quarter,shares,report_date,form_type,xbrl_field,notes
JPM,19617,2018-03-31,2018,1,3404776922,2018-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2018-06-30,2018,2,3360884107,2018-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2018-09-30,2018,3,3325410725,2018-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2018-12-31,2018,4,3275800000,2018-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2019-03-31,2019,1,3243972971,2019-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2019-06-30,2019,2,3197484989,2019-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2019-09-30,2019,3,3136484924,2019-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2019-12-31,2019,4,3084000000,2019-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2020-03-31,2020,1,3047022877,2020-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2020-06-30,2020,2,3047604487,2020-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2020-09-30,2020,3,3048203063,2020-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2020-12-31,2020,4,3049400000,2020-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2021-03-31,2021,1,3027128112,2021-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2021-06-30,2021,2,2988155355,2021-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2021-09-30,2021,3,2955266061,2021-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2021-12-31,2021,4,2944100000,2021-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2022-03-31,2022,1,2937050466,2022-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2022-06-30,2022,2,2932572390,2022-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2022-09-30,2022,3,2933204888,2022-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2022-12-31,2022,4,2934200000,2022-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2023-03-31,2023,1,2922288509,2023-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2023-06-30,2023,2,2906085273,2023-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2023-09-30,2023,3,2891008341,2023-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2023-12-31,2023,4,2876600000,2023-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2024-03-31,2024,1,2871667879,2024-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2024-06-30,2024,2,2845164727,2024-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2024-09-30,2024,3,2815340422,2024-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2024-12-31,2024,4,2797600000,2024-12-31,10-K,CommonStockSharesOutstanding,
JPM,19617,2025-03-31,2025,1,2779094488,2025-03-31,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2025-06-30,2025,2,2749753854,2025-06-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2025-09-30,2025,3,2722262295,2025-09-30,10-Q,EntityCommonStockSharesOutstanding,
JPM,19617,2025-12-31,2025,4,2696200000,2025-12-31,10-K,CommonStockSharesOutstanding,
BAC,70858,2013-09-30,2013,3,10683282112,2013-09-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2013-12-31,2013,4,10591808296,2013-12-31,10-K,CommonStockSharesOutstanding,
BAC,70858,2014-03-31,2014,1,10530045485,2014-03-31,10-Q,CommonStockSharesOutstanding,
BAC,70858,2014-06-30,2014,2,10515824628,2014-06-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2014-09-30,2014,3,10515893904,2014-09-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2014-12-31,2014,4,10516542476,2014-12-31,10-K,CommonStockSharesOutstanding,
BAC,70858,2015-03-31,2015,1,10520400507,2015-03-31,10-Q,CommonStockSharesOutstanding,
BAC,70858,2015-06-30,2015,2,10471836636,2015-06-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2015-09-30,2015,3,10427305035,2015-09-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2015-12-31,2015,4,10380265063,2015-12-31,10-K,CommonStockSharesOutstanding,
BAC,70858,2016-03-31,2016,1,10312660252,2016-03-31,10-Q,CommonStockSharesOutstanding,
BAC,70858,2016-06-30,2016,2,10216780615,2016-06-30,10-Q,CommonStockSharesOutstanding,
BAC,70858,2016-09-30,2016,3,10123845121,2016-09-30,10-Q,CommonStockSharesOutstanding,
