year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,DAL,TGT,0.620076,0.174535,0.127349,0.167553,0.01368,0.127086,3.1e-05,0.009842,2013.625
2013,3,DAL,T,0.484855,0.154908,0.119916,0.074769,0.012881,0.114865,0.000126,0.007391,2013.625
2013,3,DAL,VZ,0.625868,0.15786,0.130711,0.072573,0.013026,0.242268,0.00013,0.009299,2013.625
2013,3,DAL,WFC,0.582313,0.150488,0.119668,0.068202,0.012705,0.216711,0.00435,0.010189,2013.625
2013,3,DAL,INTC,0.547411,0.162827,0.119894,0.092242,0.014759,0.146191,6.5e-05,0.011433,2013.625
2013,3,DAL,AMZN,0.736042,0.124072,0.092463,0.056973,0.010319,0.4327,0.008777,0.010738,2013.625
2013,3,DAL,JNJ,0.535062,0.158886,0.125703,0.09676,0.013407,0.129358,0.000156,0.010792,2013.625
2013,3,DAL,PG,0.521443,0.171476,0.12019,0.074958,0.013873,0.13256,0.000173,0.008213,2013.625
2013,3,DAL,MA,0.599499,0.137021,0.128499,0.059808,0.01184,0.235649,8.3e-05,0.026599,2013.625
2013,3,DAL,UNH,0.819223,0.153689,0.122312,0.082224,0.01432,0.433649,9.9e-05,0.012929,2013.625
2013,3,DAL,GS,0.602301,0.140785,0.121613,0.092458,0.012325,0.213889,0.000358,0.020873,2013.625
2013,3,DAL,MS,0.489087,0.104833,0.082405,0.122317,0.00919,0.153067,0.000163,0.017112,2013.625
2013,3,DAL,LMT,1.079545,0.147146,0.114138,0.311478,0.010566,0.487558,4.8e-05,0.008612,2013.625
2013,3,DAL,NOC,0.761812,0.168375,0.223958,0.191725,0.013569,0.141548,0.00109,0.021546,2013.625
2013,3,DAL,A,0.333673,0.086278,0.096626,0.037866,0.007735,0.098127,0.000117,0.006926,2013.625
2013,3,DAL,ABBV,0.763797,0.165024,0.146938,0.077119,0.013997,0.335814,4.5e-05,0.024859,2013.625
2013,3,DAL,ABT,0.534358,0.200097,0.137444,0.075736,0.014404,0.091977,0.000438,0.014261,2013.625
2013,3,DAL,ACN,0.519293,0.159622,0.114379,0.068568,0.013588,0.13535,0.017341,0.010444,2013.625
2013,3,DAL,ADBE,0.672117,0.148627,0.111058,0.065931,0.011916,0.32222,8.3e-05,0.012281,2013.625
2013,3,DAL,ADI,0.78659,0.160766,0.115548,0.07638,0.013905,0.413142,0.000259,0.006589,2013.625
2013,3,DAL,ADM,0.694522,0.174913,0.112309,0.136955,0.015695,0.200985,0.001748,0.051917,2013.625
2013,3,DAL,ADP,0.624521,0.186281,0.118934,0.080276,0.014482,0.211205,6e-05,0.013282,2013.625
2013,3,DAL,ADSK,0.728519,0.216628,0.155615,0.070088,0.013145,0.262981,0.00033,0.009731,2013.625
2013,3,DAL,AEE,0.54887,0.230227,0.117486,0.0887,0.013921,0.083599,0.000359,0.014577,2013.625
2013,3,DAL,AEP,0.538786,0.161832,0.167466,0.084699,0.01284,0.092371,0.000545,0.019032,2013.625
2013,3,DAL,AES,0.698648,0.193527,0.179509,0.071347,0.011021,0.221626,0.000218,0.0214,2013.625
2013,3,DAL,AFL,0.519473,0.186349,0.121324,0.0852,0.018393,0.098181,4.3e-05,0.009983,2013.625
2013,3,DAL,AIG,0.488156,0.150396,0.130731,0.073912,0.012435,0.105525,0.001137,0.01402,2013.625
2013,3,DAL,AIZ,0.701725,0.220355,0.127227,0.088891,0.016557,0.195641,0.003318,0.049735,2013.625
2013,3,DAL,AKAM,0.756311,0.206963,0.117246,0.073153,0.01355,0.339657,0.000116,0.005625,2013.625
2013,3,DAL,ALL,0.557417,0.156446,0.138087,0.077161,0.013593,0.148143,0.000574,0.023412,2013.625
2013,3,DAL,AMAT,0.595148,0.165599,0.139232,0.068956,0.012535,0.18679,0.000209,0.021826,2013.625
2013,3,DAL,AME,0.658834,0.21448,0.129802,0.06944,0.013318,0.218085,2.5e-05,0.013684,2013.625
2013,3,JPM,AAPL,0.812018,0.18702,0.257271,0.149289,0.032844,0.16545,0.001157,0.018989,2013.625
2013,3,JPM,MSFT,0.880136,0.168001,0.273765,0.140141,0.029962,0.243376,0.000191,0.024701,2013.625
2013,3,JPM,DAL,0.973827,0.257111,0.232823,0.125498,0.023193,0.294169,0.014043,0.026991,2013.625
2013,3,JPM,BAC,0.797005,0.177569,0.25904,0.155597,0.032734,0.145442,0.00076,0.025862,2013.625
2013,3,JPM,PFE,0.887655,0.17728,0.315078,0.144621,0.03319,0.186164,0.000156,0.031165,2013.625
2013,3,JPM,MRK,1.058847,0.181743,0.32309,0.153912,0.03252,0.340203,0.000176,0.027203,2013.625
2013,3,JPM,NVDA,1.057068,0.240377,0.251542,0.162945,0.03082,0.350071,0.000944,0.020369,2013.625
2013,3,JPM,XOM,0.756706,0.196876,0.27259,0.148743,0.033529,0.088511,0.000107,0.01635,2013.625
2013,3,JPM,CVX,0.966406,0.2021,0.312976,0.192658,0.036712,0.200062,0.000123,0.021775,2013.625
2013,3,JPM,KO,0.740433,0.185699,0.247936,0.130972,0.029271,0.131192,0.000187,0.015175,2013.625
2013,3,JPM,PEP,0.885607,0.213909,0.26267,0.143152,0.033481,0.213979,0.000174,0.018243,2013.625
2013,3,JPM,WMT,0.38874,0.105801,0.130611,0.080905,0.012397,0.049421,9.7e-05,0.009506,2013.625
2013,3,JPM,TGT,1.140136,0.204897,0.286208,0.34218,0.0339,0.223053,0.000169,0.04973,2013.625
2013,3,JPM,T,0.770121,0.181856,0.269502,0.152694,0.032135,0.115133,0.00019,0.018611,2013.625
2013,3,JPM,VZ,0.902778,0.185322,0.293763,0.148209,0.031571,0.223186,0.000212,0.020515,2013.625
2013,3,JPM,WFC,0.89743,0.176667,0.268945,0.139284,0.031185,0.250306,0.001148,0.029897,2013.625
2013,3,JPM,INTC,0.924985,0.191153,0.269452,0.188378,0.035689,0.189483,0.000365,0.050466,2013.625
2013,3,JPM,AMZN,0.902084,0.145656,0.207803,0.116351,0.024681,0.392243,0.002209,0.01314,2013.625
2013,3,JPM,JNJ,0.873443,0.186526,0.282507,0.197605,0.032446,0.149628,0.000222,0.02451,2013.625
2013,3,JPM,PG,0.827634,0.201307,0.270117,0.15308,0.033589,0.154222,0.000256,0.015063,2013.625
2013,3,JPM,MA,0.894218,0.160858,0.288791,0.122141,0.028697,0.274268,0.000427,0.019036,2013.625
2013,3,JPM,UNH,1.141972,0.180425,0.274886,0.167918,0.035082,0.441804,0.000209,0.041646,2013.625
2013,3,JPM,GS,0.904383,0.165276,0.273316,0.188819,0.02947,0.2157,0.000318,0.031485,2013.625
2013,3,JPM,MS,0.788038,0.12307,0.1852,0.249798,0.022139,0.191529,0.000174,0.016128,2013.625
2013,3,JPM,LMT,1.566429,0.172744,0.256516,0.636106,0.023092,0.451129,0.000285,0.026558,2013.625
